t=-1 SYN
t=1 0
t=3 1
t=4 2
t=6 3
t=8 4
t=10 5
t=11 6
t=12 7
t=13 8
t=19 9
t=21 10
t=22 11
t=24 12
t=25 13
t=26 14
t=27 15
t=29 16
t=30 17
t=31 18
t=32 19
t=33 20
t=34 21
t=45 22
t=46 23
t=47 24
t=50 25
t=51 26
t=52 27
t=53 28
t=56 29
t=57 30
t=58 31
t=60 0
t=62 1
t=65 2
t=67 3
t=69 4
t=71 5
t=73 6
t=75 7
t=77 8
t=79 9
t=81 10
t=83 11
t=85 12
t=87 13
t=89 14
t=91 15
t=93 16
t=95 17
t=97 18
t=99 19
t=101 20
t=103 21
t=105 22
t=107 23
t=109 24
t=111 25
t=113 26
t=115 27
t=117 28
t=123 EOT
